epoch,train_loss,train_acc,train_time,val_loss,val_acc,val_time
1,0.669641,0.645062,69.51307821273804,0.718243,0.612750,10.778321981430054
2,0.515664,0.744687,61.68916177749634,0.495576,0.762000,10.559966087341309
3,0.426838,0.803250,61.891451835632324,0.446646,0.805750,10.651166915893555
4,0.333069,0.852812,63.765310525894165,0.369773,0.832250,10.742960453033447
5,0.257098,0.889625,63.638988971710205,0.274805,0.883250,10.707578897476196
6,0.203325,0.915875,64.76885724067688,0.242613,0.898750,11.06098222732544
7,0.155460,0.938750,67.91381287574768,0.209532,0.913000,11.610430479049683
8,0.129427,0.949063,67.95919823646545,0.306538,0.881000,11.53956651687622
9,0.095323,0.964125,70.44029307365417,0.217365,0.919250,11.69704794883728
10,0.075650,0.971500,67.89559078216553,0.240081,0.913500,11.482442140579224
11,0.068654,0.973375,69.2216854095459,0.674483,0.835750,11.804896116256714
12,0.032690,0.990500,69.64334869384766,0.182525,0.934250,12.161931991577148
13,0.012332,0.998062,69.51098942756653,0.189280,0.935750,11.965914726257324
14,0.007677,0.999500,71.33258724212646,0.194458,0.936000,11.371990442276001
15,0.005068,0.999875,69.89725375175476,0.202227,0.937000,12.191762447357178
16,0.003723,0.999938,70.91230392456055,0.210297,0.937500,11.766219139099121
17,0.003017,0.999938,71.5714156627655,0.208949,0.938250,11.988674402236938
